epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9979,2.34043,14.953,1.33924,0.00015,0.04545,9e-05,6e-05,2.15295,9.69408,1.28671,0.0001,0.0001,0.0001
2,33.5376,1.88546,8.72306,1.07296,0.0003,0.09091,0.00021,6e-05,2.42886,9.22952,1.18533,0.000215644,0.000215644,0.000215644
3,49.4752,2.26609,9.92411,1.05447,0.0003,0.09091,0.00022,5e-05,2.64614,8.88236,1.08199,0.000326536,0.000326536,0.000326536
4,65.7488,2.17041,8.91403,0.96055,0.00045,0.13636,0.0003,7e-05,2.49493,9.16367,1.1158,0.000432676,0.000432676,0.000432676
5,82.3215,2.2878,8.26114,0.93124,0.0003,0.09091,0.0002,0.00011,2.54533,8.6225,1.0848,0.000534064,0.000534064,0.000534064
6,98.6776,2.13974,5.26969,0.96201,0.0003,0.09091,0.00021,8e-05,2.49624,8.38982,1.30483,0.0006307,0.0006307,0.0006307
7,114.818,2.376,6.85512,0.96533,0.0003,0.09091,0.0002,9e-05,2.32696,8.05369,1.21864,0.000722584,0.000722584,0.000722584
8,130.901,2.39302,6.22908,0.97592,0.0003,0.09091,0.00018,5e-05,3.05139,7.81904,1.38867,0.000809716,0.000809716,0.000809716
9,147.06,2.25003,6.06494,0.9532,0.00015,0.04545,9e-05,2e-05,3.03863,6.93165,1.22615,0.000892096,0.000892096,0.000892096
10,163.169,2.19522,4.9797,0.97731,0.0003,0.09091,0.00017,7e-05,2.86416,6.79102,1.13483,0.000969724,0.000969724,0.000969724
11,179.322,2.63666,5.85476,0.91062,0.0003,0.09091,0.00024,0.00012,2.91975,6.3036,1.25544,0.0010426,0.0010426,0.0010426
12,195.392,2.15088,4.56024,1.00641,0.00045,0.13636,0.00035,0.00017,3.26579,6.77468,1.13765,0.00111072,0.00111072,0.00111072
13,211.449,2.45454,5.86082,0.97344,0.00061,0.18182,0.00053,0.00016,3.33743,7.0825,1.1035,0.0011741,0.0011741,0.0011741
14,227.663,2.31945,5.36881,0.98027,0.00076,0.22727,0.03047,0.00977,3.47968,6.29607,1.37204,0.00123272,0.00123272,0.00123272
15,243.819,2.114,4.2342,0.95741,0.09325,0.09091,0.02095,0.00854,3.28104,6.1057,1.37642,0.00128658,0.00128658,0.00128658
16,260.175,2.52194,4.97542,0.95595,0.135,0.04545,0.02279,0.00903,3.26409,5.84633,1.30332,0.0013357,0.0013357,0.0013357
17,276.57,2.46265,4.22618,0.97644,0.23503,0.04545,0.0305,0.01503,3.06058,5.72487,1.34905,0.0013664,0.0013664,0.0013664
18,292.937,2.77367,5.34532,0.9349,0.061,0.09091,0.00791,0.00399,2.99729,6.25632,1.30472,0.0013268,0.0013268,0.0013268
19,309.259,2.57749,4.67966,0.89305,0.17986,0.09091,0.04029,0.01735,3.21714,5.6911,1.32099,0.0012872,0.0012872,0.0012872
20,325.711,2.62663,4.95994,0.92322,0.10218,0.09091,0.0186,0.00638,3.4542,5.51697,1.8367,0.0012476,0.0012476,0.0012476
21,342.089,2.26946,3.28754,0.91113,0.54155,0.13636,0.10248,0.03628,3.10829,4.82025,1.23161,0.001208,0.001208,0.001208
22,358.617,2.51517,4.30827,0.92507,0.27514,0.09091,0.04865,0.02005,3.23639,4.53048,1.17223,0.0011684,0.0011684,0.0011684
23,375.097,1.99228,3.07445,0.94564,0.29929,0.09091,0.04622,0.02056,3.27188,4.31254,1.13692,0.0011288,0.0011288,0.0011288
24,391.807,1.91283,3.04773,0.89743,0.19611,0.13636,0.05398,0.02183,3.26228,4.23185,1.12142,0.0010892,0.0010892,0.0010892
25,408.27,2.18031,3.17268,0.90817,0.28447,0.22727,0.09336,0.02756,3.31872,4.33344,1.05648,0.0010496,0.0010496,0.0010496
26,425.071,2.10075,2.92396,0.97449,0.48286,0.27273,0.21525,0.05974,3.23969,4.1151,1.08938,0.00101,0.00101,0.00101
27,441.699,2.35209,3.63655,0.88532,0.4376,0.27273,0.22212,0.08011,3.23317,4.11228,1.09671,0.0009704,0.0009704,0.0009704
28,458.334,2.2361,3.11511,0.95554,0.51893,0.27273,0.25617,0.08014,3.19164,4.06427,1.07584,0.0009308,0.0009308,0.0009308
29,474.871,2.29229,3.18089,0.88608,0.56369,0.27273,0.25462,0.07595,3.30524,3.85512,1.1786,0.0008912,0.0008912,0.0008912
30,491.566,2.21202,2.67496,0.88007,0.42857,0.45455,0.3418,0.09385,3.11646,3.49131,1.30829,0.0008516,0.0008516,0.0008516
31,508.309,2.03014,2.87757,0.89945,0.75992,0.31818,0.35821,0.0896,3.10526,3.59148,1.39783,0.000812,0.000812,0.000812
32,524.991,2.22845,3.11886,0.8098,0.72445,0.27273,0.26466,0.07893,3.15568,3.76628,1.42629,0.0007724,0.0007724,0.0007724
33,541.794,1.88372,2.43481,0.8701,0.5949,0.27273,0.27286,0.0834,3.19875,3.67841,1.44429,0.0007328,0.0007328,0.0007328
34,558.534,1.8951,2.39479,0.88855,0.46546,0.22727,0.1901,0.05651,3.18334,3.35711,1.39637,0.0006932,0.0006932,0.0006932
35,575.256,1.84589,2.34191,0.8253,0.60749,0.27273,0.2541,0.07258,3.12447,3.34282,1.4659,0.0006536,0.0006536,0.0006536
36,592.012,2.10411,2.70812,0.85453,0.49065,0.31818,0.24717,0.07822,3.09518,3.29757,1.33015,0.000614,0.000614,0.000614
37,608.797,2.10724,2.37357,0.85245,0.56603,0.36364,0.28273,0.08986,3.04507,3.10548,1.21698,0.0005744,0.0005744,0.0005744
38,625.731,1.82096,2.17605,0.86896,0.64136,0.31818,0.28352,0.08485,3.07259,3.11813,1.16353,0.0005348,0.0005348,0.0005348
39,642.584,1.89569,2.21124,0.82438,0.50439,0.31818,0.27942,0.08945,2.9861,3.11535,1.13386,0.0004952,0.0004952,0.0004952
40,659.379,1.76728,2.26909,0.80845,0.54236,0.36364,0.32018,0.10111,2.92505,3.2701,1.27826,0.0004556,0.0004556,0.0004556
41,676.27,1.80951,2.92142,0.80944,0.6298,0.40909,0.39115,0.10043,2.94022,3.31673,1.24922,0.000416,0.000416,0.000416
42,692.955,1.79105,2.70676,0.85458,0.61059,0.45455,0.4012,0.11018,2.92917,3.21772,1.2957,0.0003764,0.0003764,0.0003764
43,709.559,1.69946,2.62309,0.88003,0.60822,0.45455,0.42373,0.11325,2.89931,3.17116,1.32639,0.0003368,0.0003368,0.0003368
44,726.263,2.01764,3.09969,0.8544,0.55426,0.40909,0.35991,0.10138,2.97215,3.09131,1.25745,0.0002972,0.0002972,0.0002972
45,743.048,1.76886,2.81306,0.78829,0.55619,0.40909,0.36177,0.10539,2.99718,3.09865,1.2542,0.0002576,0.0002576,0.0002576
46,759.714,1.66975,2.50264,0.76457,0.58033,0.40909,0.35928,0.1053,3.00966,3.05218,1.26882,0.000218,0.000218,0.000218
